miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT003866	dme-miR-4-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003866	dme-miR-4-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003870	dme-miR-11-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003870	dme-miR-11-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003859	dme-miR-79-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003859	dme-miR-79-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT002865	dme-miR-7-5p	Drosophila melanogaster	E(spl)m3-HLH	43156	Drosophila melanogaster	GFP reporter assay//Reporter assay;Other	Functional MTI	14691535
MIRT002865	dme-miR-7-5p	Drosophila melanogaster	E(spl)m3-HLH	43156	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT002865	dme-miR-7-5p	Drosophila melanogaster	E(spl)m3-HLH	43156	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003864	dme-miR-4-3p	Drosophila melanogaster	E(spl)m4-BFM	43157	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003854	dme-miR-7-5p	Drosophila melanogaster	E(spl)m4-BFM	43157	Drosophila melanogaster	GFP reporter assay	Functional MTI	14691535
MIRT003854	dme-miR-7-5p	Drosophila melanogaster	E(spl)m4-BFM	43157	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003871	dme-miR-11-3p	Drosophila melanogaster	E(spl)m4-BFM	43157	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003860	dme-miR-79-3p	Drosophila melanogaster	E(spl)m4-BFM	43157	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001870	dme-miR-4-3p	Drosophila melanogaster	E(spl)m5-HLH	43158	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT001870	dme-miR-4-3p	Drosophila melanogaster	E(spl)m5-HLH	43158	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001866	dme-miR-7-5p	Drosophila melanogaster	E(spl)m5-HLH	43158	Drosophila melanogaster	GFP reporter assay//Reporter assay;Other	Functional MTI	15833912
MIRT001866	dme-miR-7-5p	Drosophila melanogaster	E(spl)m5-HLH	43158	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001866	dme-miR-7-5p	Drosophila melanogaster	E(spl)m5-HLH	43158	Drosophila melanogaster	Luciferase reporter assay//Reporter assay	Functional MTI	15738385
MIRT001861	dme-miR-79-3p	Drosophila melanogaster	E(spl)m5-HLH	43158	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT001861	dme-miR-79-3p	Drosophila melanogaster	E(spl)m5-HLH	43158	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT004441	dme-miR-14-3p	Drosophila melanogaster	Ice	43514	Drosophila melanogaster	Western blot	Functional MTI	12725740
MIRT003972	dme-miR-315-5p	Drosophila melanogaster	Axn	43565	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17989227
MIRT003978	dme-miR-8-3p	Drosophila melanogaster	pan	43769	Drosophila melanogaster	Western blot	Functional MTI	18824696
MIRT003978	dme-miR-8-3p	Drosophila melanogaster	pan	43769	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	20216554
MIRT438567	dme-miR-310-3p	Drosophila melanogaster	pan	43769	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
MIRT438565	dme-miR-311-3p	Drosophila melanogaster	pan	43769	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
